"","PROVINCE","urban","age","gender","I1_3_1","party","army","sec_lan","f_b_hukou","f_n_hukou","m_b_hukou","m_n_hukou","b_hukou","n_hukou","local_hukou","migrant_hukou","cungaiju","u_w_m","u_c_m","r_m","p_m","uint_add_m","br_m","bus_m","I1_20_1","I1_20_2","n_r_o_i","I1_20_4","I1_20_5","I1_21","I1_22_1","I1_22_2","I1_22_3","tech_edu","I2_10","work_exp","I3a1_1","I3a1_2","I3a1_5","I3a1_9","I3a1_14","I3a1_16_1","I3a1_16_2","I3a1_16_3","I3a1_19_1","I3a1_19_2","I3a1_19_3","I3a1_20_1","I3a1_20_2","I3a1_20_3","I3a1_20_4","I3a1_20_5","I3a1_20_7","I3a1_20_8","I3a1_20_9","I3a1_21","I3a2_1","friend","psychofriend","discussfriend","moneyfriend","memberelect","happy","happycp","I7_7_1","I7_7_2","I7_9","soccls","b_soccls","I7_10_3_1","t_soccls","soctrs","I9_1","I9_2","arm","health","I9_5","I9_6","ill","I9_8","I9_9","I9_10","I9_11","I9_12","I9_14","interviewway","reject","impat","itviewer_trust","fudge","colla","rely","lang","sinitviewer","look","sinitviewee","rtype_u","belief","edu","fedu","medu","jobmean","dinner","socresp","localsc","comlk","plan","u","d"
"5926",530000,0,46,0,530000,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,3,3,3,3,3,5,3,1,4,3,5,4,6,1,3,158,135,160,3,2,3,0,0,0,2,2,0,0,1,1,3,3,3,3,3,2,0,6,1,1,0,NA,1,1,0.352651625871658,0.144271776080132,0.239654049277306,1,0.08657356351614,8,0.713292837142944,1
"5927",360000,0,64,1,360000,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,3,1,1,5,5,10,1,1,4,167,107,164,5,4,4,1,0,0,1,1,1,0,1,4,4,3,4,3,3,2,1,6,0,0,0,1,NA,1,0.932965755462646,NA,2.39475440979004,1,-0.578151047229767,8,0.713421523571014,1
"5928",440000,0,21,0,440000,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,1,6,5,5,1,3,2,6,5,8,4,3,160,90,154,2,2,3,0,0,0,2,2,0,1,1,4,4,3,2,3,3,2,1,6,1,0,0,3,2,3,NA,0.766929626464844,0.239654049277306,1,0.28424397110939,2,0.7134650349617,1
"5929",520000,0,26,1,520000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,3,5,5,1,5,4,5,3,8,2,3,165,136,168,1,1,1,0,0,0,1,2,0,0,1,4,4,4,4,4,4,1,1,7,0,0,0,2,1,1,1.54820597171783,1.21099627017975,-0.455396622419357,1,-0.95555853843689,1,0.713554859161377,1
"5930",650000,0,36,0,650000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,3,3,3,3,4,3,1,4,1,3,155,115,155,3,2,2,0,0,15,2,4,0,0,2,4,4,4,4,3,3,2,0,5,0,1,1,1,1,1,-0.456358999013901,1.21099627017975,-0.431529670953751,1,0.28424397110939,8,0.713663995265961,1
"5931",330000,0,59,1,330000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,3,1,1,3,3,4,NA,NA,NA,4,NA,NA,NA,4,1,NA,5,2,1,3,3,4,3,4,4,4,2,1,3,1,3,174,105,170,2,1,1,0,0,0,4,3,1,0,1,4,4,3,3,3,3,2,0,2,0,0,0,NA,1,1,0.492461562156677,-0.922452747821808,-1.24426257610321,0,1.0465544462204,2,0.713739156723022,1
"5932",430000,0,40,1,430000,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,1,3,3,4,1,2,1,4,2,160,80,156,5,5,5,1,1,365,1,1,1,0,1,4,4,4,4,4,4,1,1,NA,0,0,0,NA,1,1,-1.17183840274811,-0.922452747821808,0.239654049277306,1,-1.82045197486877,8,0.713756561279297,1
"5933",130000,1,15,1,130000,0,0,0,2,2,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,5,6,5,5,1,2,3,3,3,7,3,3,175,110,171,1,1,1,0,0,0,3,3,0,1,1,4,4,3,3,3,3,1,0,NA,0,1,0,1,2,2,NA,0.156146824359894,-0.431529670953751,1,-0.195746496319771,2,0.713915228843689,1
"5934",420000,0,46,1,320000,0,0,0,1,2,1,5,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,3,3,3,1,3,2,3,1,4,1,NA,NA,NA,4,1,NA,1,0,0,0,3,5,5,1,3,3,7,7,7,7,3,168,134,160,3,2,2,0,0,0,2,3,1,1,1,4,3,3,4,4,4,1,0,6,0,0,0,3,1,NA,-1.80161285400391,-0.222894608974457,0.239654049277306,0,-0.198245003819466,1,0.71420156955719,1
"5935",310000,1,35,1,310000,0,1,1,2,2,2,2,2,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,2,2,2,3,2,2,1,1,1,2,2,4,NA,NA,1,NA,3,4,2,4,6,5,5,1,3,4,5,8,6,6,2,181,140,172,2,1,1,1,0,0,2,2,1,1,1,4,4,3,4,3,3,1,0,8,1,0,1,3,3,3,-0.469751596450806,1.21099627017975,-0.455396622419357,1,-2.5827624797821,2,0.714349627494812,1
